,city,country,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
88,Salym,RU,60.06,71.48,285.12,70.0,0.0,0.59
89,Biltine,TD,14.53,20.92,301.01,62.0,100.0,3.27
90,Alyangula,AU,-13.85,136.42,298.15,53.0,0.0,3.1
91,Petatlan,MX,17.52,-101.27,304.15,66.0,75.0,1.5
92,Hobyo,SO,5.35,48.53,298.41,79.0,99.0,10.43
93,Port lincoln,AU,-34.73,135.87,287.56,59.0,100.0,5.71
94,Arraial do cabo,BR,-22.97,-42.03,292.82,81.0,100.0,6.62
95,Longyearbyen,SJ,78.22,15.64,282.15,87.0,75.0,3.1
96,Sibiti,CG,-3.68,13.35,291.95,86.0,0.0,0.99
97,Atar,MR,20.52,-13.05,303.76,48.0,100.0,2.88
98,Georgetown,MY,5.41,100.34,300.15,94.0,20.0,1.0
99,Egvekinot,RU,66.32,-179.17,283.52,60.0,49.0,1.8
100,Upernavik,GL,72.79,-56.15,279.46,75.0,67.0,2.04
101,Santa rosalia,MX,27.32,-112.28,303.4,67.0,0.0,2.23
102,Cayenne,GF,4.93,-52.33,299.15,94.0,48.0,0.5
103,Bonavista,CA,48.65,-53.11,286.48,74.0,100.0,1.31
104,Neiafu,TO,-18.65,-173.98,296.15,83.0,75.0,5.1
105,Misratah,LY,32.38,15.09,298.11,76.0,0.0,2.05
106,Mar del plata,AR,-38.0,-57.56,281.48,81.0,0.0,6.2
107,Kenai,US,60.55,-151.26,292.15,52.0,75.0,2.1
108,Nuuk,GL,64.18,-51.72,280.15,87.0,100.0,1.0
109,Zyryanka,RU,65.75,150.85,286.84,46.0,96.0,2.94
110,Canyon lake,US,29.88,-98.26,305.93,63.0,69.0,2.68
111,Kaiyuan,CN,23.7,103.3,296.28,78.0,70.0,0.42
112,Sao joao da barra,BR,-21.64,-41.05,293.07,83.0,100.0,9.0
113,Viedma,AR,-40.81,-63.0,281.48,65.0,58.0,3.58
114,Ndende,GA,-2.4,11.36,293.94,82.0,4.0,1.2
115,Lagoa,PT,39.05,-27.98,294.14,76.0,20.0,5.61
116,Vista hermosa,MX,19.52,-99.22,293.15,68.0,90.0,2.1
117,Hithadhoo,MV,-0.6,73.08,301.58,74.0,94.0,3.87
